"","Duration","Sci_LR_Scale","Sci_DataSet","Sci_Mem","Agent","Agent_pH","Agent_pH_Var"
"1",1953,"0 (Neutral)","GISTEMP","15","Scientist",0.00999999999999983,2.83425219700005e-32
"2",1953.16666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0132908863670748,5.57150904832744e-32
"3",1953.33333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.01764546309432,2.12546322691384e-32
"4",1953.5,"0 (Neutral)","GISTEMP","15","Scientist",0.0233929325309044,2.43994503089599e-32
"5",1953.66666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0309534764943997,2.89299161441051e-32
"6",1953.83333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.0408553480804742,3.40074116306215e-31
"7",1954,"0 (Neutral)","GISTEMP","15","Scientist",0.0537490899705588,5.57150904832744e-32
"8",1954.16666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0565071518417335,1.56156481977343e-30
"9",1954.33333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.0593978560755402,9.04599077232333e-31
"10",1954.5,"0 (Neutral)","GISTEMP","15","Scientist",0.0624266539962192,3.1621687600412e-31
"11",1954.66666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0655991243394296,6.94028808788193e-31
"12",1954.83333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.0689209655303671,1.11044609406111e-31
"13",1955,"0 (Neutral)","GISTEMP","15","Scientist",0.0723979865165967,3.08457248350308e-33
"14",1955.16666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0720893276721392,3.56460907624825e-31
"15",1955.33333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.0717818829201869,7.89650555776789e-31
"16",1955.5,"0 (Neutral)","GISTEMP","15","Scientist",0.071475648352338,5.21292749712021e-31
"17",1955.66666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0711706200653247,4.81964450547356e-31
"18",1955.83333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.0708667941610925,1.14302689091811e-30
"19",1956,"0 (Neutral)","GISTEMP","15","Scientist",0.0705641667468627,2.22860361933098e-31
"20",1956.16666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0679771268637679,1.14302689091811e-30
"21",1956.33333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.065478251742475,8.14519921425032e-31
"22",1956.5,"0 (Neutral)","GISTEMP","15","Scientist",0.0630650209170596,2.09943714658428e-31
"23",1956.66666666667,"0 (Neutral)","GISTEMP","15","Scientist",0.0607349505202066,1.1571966457642e-31
"24",1956.83333333333,"0 (Neutral)","GISTEMP","15","Scientist",0.0584855956026171,8.52546916573219e-31
